-->[1]  [OSMlabel=(tourism) (hotel) Seven Dials Hotel, lat=51.51481, lgt=-0.126725, score=0.30321606093791126]
-->[2]  [OSMlabel=(tourism) (hotel) Coventry Garden Hotel, lat=51.514594, lgt=-0.127048, score=0.30321606093791126]
-->[3]  [OSMlabel=(tourism) (hotel) Radisson Edwardian, lat=51.514283, lgt=-0.127063, score=0.30321606093791126]
-->[4]  [OSMlabel=(tourism) (hotel) Courthouse, lat=51.5143154, lgt=-0.1394202, score=0.09819162321718075]
-->[5]  [OSMlabel=(tourism) (hotel) The Wellesley, lat=51.5024239, lgt=-0.1538473, score=0.056514089692017835]
-->[6]  [OSMlabel=(tourism) (hotel) Champneys Health Spa, lat=51.0642051, lgt=-0.8353568499999999, score=0.0]
-->[7]  [OSMlabel=(tourism) (hotel) The Royal Hotel, lat=51.48284915, lgt=0.2310684, score=0.0]
-->[8]  [OSMlabel=(tourism) (hotel) Travellodge, lat=51.44695765, lgt=-0.4114661, score=0.0]
-->[9]  [OSMlabel=(tourism) (hotel) Victoria, lat=51.49210885, lgt=-0.1413893, score=0.0]
-->[10]  [OSMlabel=(tourism) (hotel) The Fox and Goose, lat=51.53294375, lgt=-0.2964161, score=0.0]
-->[11]  [OSMlabel=(tourism) (hotel) The Rose Court Hotel, lat=51.5153483, lgt=-0.1601533, score=0.0]
-->[12]  [OSMlabel=(tourism) (hotel) The Old Bell, lat=51.8987875, lgt=0.1911369, score=0.0]
-->[13]  [OSMlabel=(tourism) (hotel) The Ship Hotel, lat=51.37410575, lgt=-0.45626795, score=0.0]
-->[14]  [OSMlabel=(tourism) (hotel) The White Hart, lat=51.74980665, lgt=-0.3401311, score=0.0]
-->[15]  [OSMlabel=(tourism) (hotel) Holiday Inn, lat=51.39182325, lgt=-0.4244812, score=0.0]
-->[16]  [OSMlabel=(tourism) (hotel) Park Plaza Sherlock Holmes, lat=51.5208685, lgt=-0.1566649, score=0.0]
-->[17]  [OSMlabel=(tourism) (hotel) The Two Brewers, lat=51.70379755, lgt=-0.4911594, score=0.0]
-->[18]  [OSMlabel=(tourism) (hotel) The Blakemore, lat=51.5128459, lgt=-0.18378339999999999, score=0.0]
-->[19]  [OSMlabel=(tourism) (hotel) The Henry VIII Hotel, lat=51.51238535, lgt=-0.18363785, score=0.0]
-->[20]  [OSMlabel=(tourism) (hotel) The Bull, lat=51.50053835, lgt=-0.87054765, score=0.0]
